#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
1;Ronald Acuña Jr.;ATL;159;735;41;149;106;73;10.9%;11.4%;.258;.338;.337;.416;.596;.428;170;8.9;73.0;-7.8;9.0
2;Freddie Freeman;LAD;161;730;29;131;102;23;9.9%;16.6%;.235;.370;.331;.410;.567;.411;163;4.5;61.2;-7.6;7.8
3;Mookie Betts;LAD;152;693;39;126;107;14;13.9%;15.4%;.272;.316;.307;.408;.579;.416;167;0.7;58.0;-4.0;7.7
4;Shohei Ohtani;LAA;135;599;44;102;95;20;15.2%;23.9%;.350;.342;.304;.412;.654;.433;180;2.5;59.6;-14.5;6.5
5;Matt Olson;ATL;162;720;54;127;139;1;14.4%;23.2%;.321;.302;.283;.389;.604;.413;160;0.2;54.1;-13.0;6.5
6;Corey Seager;TEX;119;536;33;88;96;2;9.1%;16.4%;.296;.340;.327;.390;.623;.419;169;-2.8;41.4;1.9;6.1
7;Juan Soto;SDP;162;708;35;97;109;12;18.6%;18.2%;.245;.296;.275;.410;.519;.395;155;-0.9;47.4;-10.0;6.1
8;Marcus Semien;TEX;162;753;29;122;100;14;9.6%;14.6%;.201;.291;.276;.348;.478;.354;124;1.3;23.1;11.9;6.1
9;Bobby Witt Jr.;KCR;158;694;30;97;96;49;5.8%;17.4%;.218;.295;.276;.319;.495;.343;115;7.6;19.9;15.0;5.9
10;William Contreras;MIL;141;611;17;86;78;6;10.3%;20.6%;.169;.348;.289;.367;.457;.357;124;-1.6;16.9;19.6;5.7
11;Julio Rodríguez;SEA;155;714;32;102;103;37;6.6%;24.5%;.209;.330;.275;.333;.485;.347;126;5.2;27.6;4.3;5.6
12;Francisco Lindor;NYM;160;687;31;108;98;31;9.6%;19.9%;.216;.277;.254;.336;.470;.346;121;3.8;21.9;10.5;5.6
13;Corbin Carroll;ARI;155;645;25;116;76;54;8.8%;19.4%;.221;.325;.285;.362;.506;.370;133;12.2;38.7;-6.0;5.4
14;Adley Rutschman;BAL;154;687;20;84;80;1;13.4%;14.7%;.158;.303;.277;.374;.435;.352;127;-1.9;20.4;10.2;5.4
15;Austin Riley;ATL;159;715;37;117;97;3;8.3%;24.1%;.234;.324;.281;.345;.516;.363;127;0.7;24.5;1.8;5.0
16;Yandy Díaz;TBR;137;600;22;95;78;0;10.8%;15.7%;.192;.367;.330;.410;.522;.402;164;-4.3;41.7;-11.8;5.0
17;Kyle Tucker;HOU;157;674;29;97;112;30;11.9%;13.6%;.233;.289;.284;.369;.517;.372;140;4.1;36.1;-9.6;4.9
18;Luis Robert Jr.;CHW;145;595;38;90;80;20;5.0%;28.9%;.278;.314;.264;.315;.542;.358;128;-0.1;20.0;8.7;4.9
19;Sean Murphy;ATL;108;438;21;65;68;0;11.2%;22.4%;.227;.286;.251;.365;.478;.366;129;-1.6;14.3;19.8;4.9
20;Wander Franco;TBR;112;491;17;65;58;30;8.6%;14.1%;.195;.297;.281;.344;.475;.349;127;2.9;19.0;13.1;4.9
21;Aaron Judge;NYY;106;458;37;79;75;3;19.2%;28.4%;.346;.300;.267;.406;.613;.420;174;-2.4;38.5;-5.6;4.8
22;Gunnar Henderson;BAL;150;622;28;100;82;10;9.0%;25.6%;.234;.306;.255;.325;.489;.346;123;5.8;22.9;3.3;4.7
23;J.P. Crawford;SEA;145;638;19;94;65;2;14.7%;19.6%;.172;.314;.266;.380;.438;.359;134;-0.1;26.0;-0.3;4.7
24;Dansby Swanson;CHC;147;638;22;81;80;9;10.3%;24.1%;.172;.297;.244;.328;.416;.325;104;2.3;5.3;20.5;4.7
25;José Ramírez;CLE;156;691;24;87;80;28;10.6%;10.6%;.193;.285;.282;.356;.475;.346;123;2.5;21.4;2.3;4.7
26;Xander Bogaerts;SDP;155;665;19;83;58;19;8.4%;16.5%;.154;.319;.285;.350;.440;.343;120;0.9;17.5;7.1;4.7
27;Alex Bregman;HOU;161;724;25;103;98;3;12.7%;12.0%;.178;.270;.262;.363;.441;.351;125;-4.2;17.8;2.2;4.5
28;Nico Hoerner;CHC;150;688;9;98;68;43;7.1%;12.1%;.100;.312;.283;.346;.383;.322;102;6.8;8.5;13.0;4.5
29;Adolis García;TEX;148;632;39;108;107;9;10.3%;27.7%;.263;.280;.245;.328;.508;.354;124;1.4;19.6;3.0;4.4
30;Ketel Marte;ARI;150;650;25;94;82;8;10.9%;16.8%;.209;.300;.276;.358;.485;.361;127;0.0;21.6;0.3;4.4
31;Ha-Seong Kim;SDP;152;626;17;84;60;38;12.0%;19.8%;.138;.306;.260;.351;.398;.330;112;4.2;13.1;9.1;4.3
32;Cody Bellinger;CHC;130;556;26;95;97;20;7.2%;15.6%;.218;.319;.307;.356;.525;.370;134;2.5;26.1;-1.8;4.3
33;Isaac Paredes;TBR;143;571;31;71;98;1;10.2%;18.2%;.238;.257;.250;.352;.488;.362;137;-1.9;23.2;0.2;4.3
34;Yordan Alvarez;HOU;114;496;31;77;97;0;13.9%;18.5%;.290;.306;.293;.407;.583;.415;170;-4.5;37.0;-11.2;4.3
35;Trea Turner;PHI;155;691;26;102;76;30;6.5%;21.7%;.192;.310;.266;.320;.459;.333;108;9.4;16.2;3.2;4.3
