#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
1;Matt Chapman;TOR;26;109;5;17;20;1;12.8%;22.9%;.319;.469;.372;.459;.691;.479;214;-0.4;14.5;0.8;1.9
2;Sean Murphy;ATL;22;91;6;16;16;0;17.6%;24.2%;.342;.311;.274;.418;.616;.434;175;-0.3;8.1;4.1;1.5
3;Thairo Estrada;SFG;25;108;4;19;10;7;4.6%;20.4%;.190;.405;.340;.389;.530;.395;154;1.0;8.2;3.1;1.5
4;Mike Trout;LAA;26;120;7;20;18;0;10.8%;28.3%;.288;.406;.317;.400;.606;.423;172;0.0;10.4;0.4;1.5
5;Ronald Acuña Jr.;ATL;26;119;4;23;14;12;13.4%;15.1%;.206;.400;.353;.445;.559;.429;172;1.6;12.1;-1.3;1.5
6;Max Muncy;LAD;23;93;11;18;22;1;23.7%;24.7%;.486;.194;.257;.441;.743;.475;206;0.1;12.3;-0.8;1.5
7;Brent Rooker;OAK;21;85;9;14;22;0;16.5%;17.6%;.433;.333;.358;.471;.791;.506;236;-0.3;13.6;-2.0;1.4
8;Wander Franco;TBR;26;117;4;16;16;6;7.7%;17.1%;.226;.329;.292;.359;.519;.372;144;0.2;6.4;3.1;1.3
9;Brandon Marsh;PHI;26;94;4;16;13;1;13.8%;28.7%;.296;.440;.321;.415;.617;.433;175;0.5;9.2;0.4;1.3
10;Jorge Mateo;BAL;22;78;6;19;16;8;6.4%;15.4%;.333;.321;.333;.377;.667;.429;181;1.6;9.1;0.6;1.2
11;James Outman;LAD;27;101;6;14;18;4;8.9%;32.7%;.311;.392;.289;.366;.600;.405;159;0.7;8.1;0.8;1.2
12;Randy Arozarena;TBR;27;121;7;21;27;3;8.3%;24.0%;.255;.389;.330;.397;.585;.413;172;-0.2;10.3;-2.2;1.2
13;Jonah Heim;TEX;22;84;5;14;20;0;11.9%;16.7%;.292;.296;.292;.381;.583;.405;159;-0.2;5.8;3.3;1.2
14;Xander Bogaerts;SDP;27;117;6;20;12;1;12.8%;13.7%;.200;.295;.290;.393;.490;.384;148;-0.2;6.7;1.2;1.2
15;Yandy Díaz;TBR;25;109;7;23;16;0;12.8%;13.8%;.272;.324;.326;.422;.598;.431;184;-0.7;10.3;-2.1;1.2
16;Cody Bellinger;CHC;23;101;7;22;18;4;8.9%;15.8%;.318;.299;.307;.376;.625;.415;164;0.6;8.6;-0.3;1.2
17;Josh Lowe;TBR;21;83;5;17;18;5;8.4%;20.5%;.289;.389;.342;.398;.632;.433;186;0.9;9.5;-0.8;1.1
18;Nico Hoerner;CHC;26;124;2;20;17;10;5.6%;9.7%;.113;.353;.330;.371;.443;.354;123;1.3;4.9;2.3;1.1
19;Jarred Kelenic;SEA;24;94;7;14;14;4;9.6%;25.5%;.321;.352;.310;.372;.631;.417;175;0.9;9.3;-1.0;1.1
20;Geraldo Perdomo;ARI;21;69;2;14;16;1;8.7%;18.8%;.237;.477;.390;.455;.627;.459;193;0.2;8.1;0.8;1.1
21;Luis Arraez;MIA;23;94;1;11;10;1;10.6%;4.3%;.110;.449;.439;.500;.549;.446;184;-0.5;9.3;-1.4;1.1
22;Brandon Nimmo;NYM;24;107;2;15;10;3;14.0%;15.0%;.125;.394;.341;.443;.466;.400;158;0.1;7.8;-0.4;1.1
23;Jack Suwinski;PIT;21;80;6;10;18;5;17.5%;28.7%;.359;.351;.297;.413;.656;.438;177;0.6;8.3;-0.2;1.1
24;Corbin Carroll;ARI;26;100;4;19;9;10;8.0%;24.0%;.233;.387;.311;.380;.544;.394;149;1.7;7.8;-0.9;1.0
25;Austin Hays;BAL;25;97;4;17;11;1;8.2%;23.7%;.239;.403;.330;.381;.568;.401;161;-0.1;7.0;-0.2;1.0
26;Jeff McNeil;NYM;25;105;1;11;8;2;14.3%;7.6%;.128;.325;.302;.429;.430;.383;147;0.1;6.2;0.3;1.0
27;Paul Goldschmidt;STL;27;121;4;16;13;2;13.2%;13.2%;.202;.321;.298;.397;.500;.388;148;0.2;7.3;-1.4;1.0
28;Adam Duvall;BOS;7;32;4;10;13;0;9.4%;9.4%;.655;.455;.483;.531;1.138;.669;339;0.0;9.1;-0.4;1.0
29;Dansby Swanson;CHC;25;115;1;16;6;3;18.3%;23.5%;.064;.364;.266;.400;.330;.338;113;0.2;2.1;3.7;1.0
30;Taylor Walls;TBR;19;72;4;17;10;5;12.5%;19.4%;.274;.341;.306;.403;.581;.417;175;1.1;7.6;-0.5;1.0
31;LaMonte Wade Jr.;SFG;24;90;5;10;8;1;21.1%;21.1%;.299;.279;.254;.438;.552;.425;173;-0.1;8.0;-1.9;0.9
32;Cedric Mullins;BAL;27;111;3;11;20;9;13.5%;17.1%;.181;.292;.255;.358;.436;.347;124;2.0;5.2;0.1;0.9
33;Marcus Semien;TEX;27;123;5;24;23;3;11.4%;17.1%;.196;.280;.262;.344;.458;.346;119;0.1;2.9;1.9;0.9
34;Brandon Lowe;TBR;24;96;7;20;18;1;12.5%;30.2%;.298;.271;.238;.333;.536;.367;140;0.2;4.8;0.9;0.9
35;Connor Joe;PIT;24;93;4;18;11;1;11.8%;24.7%;.288;.358;.288;.387;.575;.406;156;-0.5;6.0;-0.3;0.9
36;Bryan Reynolds;PIT;26;111;5;17;22;5;5.4%;17.1%;.263;.338;.323;.351;.586;.385;142;0.9;6.6;-1.7;0.9
37;Bryson Stott;PHI;27;124;2;9;9;3;4.0%;17.7%;.109;.379;.319;.347;.429;.337;111;0.2;1.8;2.7;0.9
38;Matt Olson;ATL;26;117;8;19;25;0;15.4%;35.0%;.316;.327;.245;.368;.561;.392;147;0.0;6.8;-2.1;0.9
39;Willy Adames;MIL;27;117;5;16;15;2;14.5%;26.5%;.196;.286;.237;.345;.433;.338;111;-0.2;1.4;3.2;0.9
40;Harold Ramírez;TBR;20;79;5;12;11;0;8.9%;17.7%;.296;.365;.338;.405;.634;.437;188;-0.3;8.1;-2.3;0.8
41;J.D. Davis;SFG;23;91;6;10;17;0;6.6%;27.5%;.247;.353;.296;.363;.543;.384;147;-0.4;4.8;0.6;0.8
42;Jason Delay;PIT;14;47;1;7;8;0;6.4%;10.6%;.220;.417;.390;.435;.610;.439;178;-0.2;4.3;2.4;0.8
43;Freddie Freeman;LAD;27;120;4;20;9;4;12.5%;16.7%;.173;.333;.298;.383;.471;.368;134;0.4;5.5;-1.3;0.8
44;Anthony Rizzo;NYY;27;115;5;13;13;0;8.7%;21.7%;.202;.329;.283;.374;.485;.371;141;-1.1;4.5;-0.4;0.8
45;Patrick Wisdom;CHC;24;98;10;20;20;0;8.2%;33.7%;.404;.283;.258;.327;.663;.408;159;-0.1;7.1;-2.5;0.8
46;Jeremy Peña;HOU;26;114;6;20;16;5;4.4%;23.7%;.238;.264;.238;.292;.476;.327;109;1.4;2.6;1.4;0.8
47;Alejandro Kirk;TOR;20;74;2;8;8;0;20.3%;14.9%;.123;.311;.281;.432;.404;.373;141;-1.2;2.4;3.0;0.8
48;Adolis García;TEX;26;114;8;23;28;1;7.9%;22.8%;.277;.257;.257;.316;.535;.354;124;0.2;3.5;0.5;0.8
49;Bo Bichette;TOR;27;121;6;16;17;0;5.0%;14.9%;.193;.311;.298;.339;.491;.356;129;-1.1;3.2;0.6;0.8
50;Cal Raleigh;SEA;22;88;5;14;16;0;11.4%;35.2%;.269;.310;.231;.318;.500;.344;123;-0.3;2.1;2.6;0.8
51;Pete Alonso;NYM;25;107;9;19;24;0;9.3%;24.3%;.299;.274;.268;.336;.567;.381;145;-0.2;5.7;-1.6;0.8
52;José Ramírez;CLE;26;115;3;13;17;5;13.0%;10.4%;.184;.294;.286;.374;.469;.348;124;0.1;3.4;0.4;0.8
53;Josh Jung;TEX;25;104;6;17;21;1;5.8%;31.7%;.237;.362;.278;.327;.515;.358;127;-0.3;3.1;1.0;0.8
54;Francisco Lindor;NYM;25;108;4;18;20;2;8.3%;25.0%;.242;.266;.221;.315;.463;.335;114;0.3;2.2;1.7;0.8
55;Joey Gallo;MIN;18;63;7;12;14;0;14.3%;33.3%;.491;.200;.226;.349;.717;.432;182;0.1;6.3;-0.9;0.7
56;William Contreras;MIL;21;85;1;8;7;0;12.9%;15.3%;.108;.350;.297;.388;.405;.353;121;-0.4;1.9;2.7;0.7
57;Tommy Edman;STL;26;93;4;13;10;3;10.8%;14.0%;.222;.266;.259;.348;.481;.353;124;0.0;2.8;1.5;0.7
58;Alex Verdugo;BOS;28;124;4;20;17;1;8.1%;13.7%;.161;.330;.304;.371;.464;.363;127;0.1;4.1;-0.9;0.7
59;Adley Rutschman;BAL;27;121;3;11;13;0;17.4%;14.0%;.122;.275;.255;.380;.378;.334;115;-0.7;1.5;1.8;0.7
60;Jarren Duran;BOS;13;53;1;8;10;2;5.7%;22.6%;.250;.486;.396;.415;.646;.438;179;0.9;5.9;-0.5;0.7
61;Ian Happ;CHC;25;112;2;11;14;4;15.2%;21.4%;.160;.362;.287;.393;.447;.364;130;0.3;4.5;-1.2;0.7
62;Shohei Ohtani;LAA;27;120;7;18;18;5;8.3%;20.0%;.255;.316;.292;.350;.547;.379;142;-0.1;5.9;-2.9;0.7
63;Andrés Giménez;CLE;25;104;2;18;6;5;5.8%;20.2%;.141;.304;.250;.330;.391;.315;102;0.7;0.9;2.6;0.7
64;Hunter Renfroe;LAA;27;116;7;20;20;0;9.5%;19.8%;.269;.280;.269;.336;.538;.368;135;-0.4;4.4;-1.3;0.7
65;Kyle Tucker;HOU;26;111;4;8;18;4;13.5%;14.4%;.161;.307;.290;.382;.452;.359;131;0.8;4.9;-1.6;0.7
66;Vladimir Guerrero Jr.;TOR;27;121;5;20;12;2;10.7%;11.6%;.189;.310;.302;.388;.491;.381;147;-0.3;6.4;-3.7;0.7
67;TJ Friedl;CIN;27;101;2;9;11;2;5.9%;19.8%;.135;.382;.315;.361;.449;.350;115;1.0;2.8;0.7;0.7
68;Mike Yastrzemski;SFG;24;100;5;16;14;0;5.0%;22.0%;.234;.343;.298;.340;.532;.371;137;-0.8;3.8;-0.3;0.7
69;Jake Burger;CHW;21;72;7;11;14;0;9.7%;29.2%;.419;.229;.242;.333;.661;.406;161;0.1;5.4;-1.0;0.7
70;Nolan Gorman;STL;25;99;6;7;22;2;11.1%;27.3%;.264;.309;.264;.343;.529;.369;135;-0.5;3.7;-0.8;0.6
71;Steven Kwan;CLE;26;120;0;14;6;7;13.3%;10.0%;.049;.315;.282;.375;.330;.314;101;1.2;1.3;0.7;0.6
72;Juan Soto;SDP;27;118;5;19;11;1;22.0%;24.6%;.196;.259;.217;.390;.413;.351;126;0.0;3.7;-1.7;0.6
73;Isaac Paredes;TBR;25;98;4;16;19;0;5.1%;20.4%;.191;.308;.270;.337;.461;.345;125;-0.4;2.6;0.0;0.6
74;Austin Riley;ATL;26;112;5;17;14;0;10.7%;30.4%;.196;.333;.258;.339;.454;.341;112;0.1;1.8;0.3;0.6
75;Christian Bethancourt;TBR;16;63;5;12;11;0;6.3%;27.0%;.328;.270;.259;.302;.586;.366;139;-0.3;2.7;0.9;0.6
76;Anthony Volpe;NYY;28;105;2;11;8;7;14.3%;28.6%;.122;.310;.222;.333;.344;.306;95;1.5;0.8;1.3;0.6
77;Julio Rodríguez;SEA;25;114;5;17;12;6;7.0%;27.2%;.202;.294;.240;.307;.442;.323;109;-0.2;1.1;0.7;0.6
78;Byron Buxton;MIN;25;103;7;18;17;0;9.7%;32.0%;.293;.302;.250;.320;.543;.362;133;0.6;4.7;-2.6;0.6
79;Alex Bregman;HOU;26;119;3;15;12;0;16.8%;10.9%;.133;.244;.235;.370;.367;.334;113;-0.7;1.2;0.4;0.6
80;Jazz Chisholm Jr.;MIA;26;107;4;10;12;11;6.5%;35.5%;.163;.375;.255;.311;.418;.317;97;2.0;1.5;0.4;0.6
81;Carlos Santana;PIT;25;107;2;14;16;3;11.2%;15.9%;.160;.329;.287;.364;.447;.352;120;0.4;3.0;-1.2;0.5
82;Vinnie Pasquantino;KCR;28;117;5;13;10;0;12.0%;12.8%;.228;.296;.287;.379;.515;.379;139;-1.0;4.5;-3.1;0.5
83;Ryan Noda;OAK;25;85;3;16;6;1;21.2%;35.3%;.194;.382;.239;.400;.433;.370;142;-0.2;4.1;-1.6;0.5
84;Corey Seager;TEX;10;44;1;5;4;0;15.9%;15.9%;.194;.414;.361;.455;.556;.430;177;-0.3;3.8;0.2;0.5
85;Yan Gomes;CHC;17;66;5;10;12;1;1.5%;12.1%;.254;.294;.317;.333;.571;.379;140;0.0;3.3;-0.1;0.5
86;Nick Castellanos;PHI;28;117;4;21;17;0;8.5%;23.1%;.196;.382;.308;.368;.505;.375;136;-1.2;4.0;-2.6;0.5
87;J.P. Crawford;SEA;26;96;1;13;9;1;16.7%;20.8%;.127;.310;.241;.368;.367;.332;116;0.1;1.9;0.0;0.5
88;Alex Call;WSN;24;99;2;12;10;2;15.2%;19.2%;.098;.306;.256;.374;.354;.330;106;-0.3;0.5;1.3;0.5
89;Michael A. Taylor;MIN;25;89;4;11;11;3;4.5%;32.6%;.183;.327;.244;.295;.427;.312;99;0.8;0.6;1.4;0.5
90;Orlando Arcia;ATL;12;45;2;9;6;0;6.7%;20.0%;.195;.400;.341;.400;.537;.403;154;-0.2;2.8;0.7;0.5
91;Whit Merrifield;TOR;20;80;0;9;10;4;6.3%;15.0%;.097;.387;.333;.375;.431;.349;124;0.4;2.7;-0.5;0.5
92;Jake Rogers;DET;18;56;3;6;8;0;14.3%;33.9%;.234;.280;.213;.339;.447;.343;118;-0.4;0.8;2.2;0.5
93;Chas McCormick;HOU;11;48;2;7;9;4;12.5%;25.0%;.225;.346;.275;.383;.500;.382;146;0.7;3.3;-0.1;0.5
94;Jonathan India;CIN;27;117;1;20;11;5;12.8%;14.5%;.103;.321;.278;.385;.381;.343;110;0.7;2.1;-1.2;0.5
95;Yordan Alvarez;HOU;20;90;5;12;23;0;13.3%;25.6%;.240;.313;.267;.378;.507;.376;142;-0.8;3.8;-2.0;0.5
96;Rowdy Tellez;MIL;24;95;8;14;20;0;11.6%;23.2%;.317;.241;.256;.337;.573;.374;136;-0.6;3.7;-2.1;0.5
97;Elias Díaz;COL;24;83;2;10;11;0;7.2%;15.7%;.158;.393;.342;.398;.500;.389;131;-0.4;2.8;-0.8;0.5
98;Aaron Judge;NYY;25;104;5;17;12;2;13.5%;31.7%;.227;.327;.250;.346;.477;.348;125;-0.6;2.5;-1.3;0.5
99;Luke Raley;TBR;20;68;7;9;14;0;5.9%;35.3%;.400;.200;.217;.294;.617;.373;144;-0.3;3.3;-0.9;0.5
100;Edmundo Sosa;PHI;21;62;3;6;7;1;1.6%;30.6%;.237;.395;.305;.323;.542;.363;128;-0.1;2.0;0.6;0.5
101;Rodolfo Castro;PIT;26;91;3;10;12;1;11.0%;24.2%;.182;.358;.286;.385;.468;.371;132;-0.9;2.8;-1.2;0.5
102;Matt Carpenter;SDP;19;61;3;6;15;0;16.4%;27.9%;.313;.333;.271;.393;.583;.405;162;-0.3;4.4;-1.8;0.5
103;J.D. Martinez;LAD;21;90;4;13;14;0;6.7%;28.9%;.313;.327;.263;.322;.575;.370;135;-0.2;3.8;-2.2;0.5
104;Mauricio Dubón;HOU;22;98;0;18;4;2;3.1%;9.2%;.086;.341;.312;.337;.398;.319;103;0.4;0.7;0.5;0.5
105;Kevin Kiermaier;TOR;22;74;1;7;8;1;5.4%;24.3%;.147;.347;.265;.315;.412;.315;101;0.3;0.4;1.6;0.5
106;Will Smith;LAD;12;52;3;11;9;0;11.5%;9.6%;.279;.216;.256;.346;.535;.366;133;-0.1;2.0;0.8;0.5
107;Mike Zunino;CLE;17;62;2;5;6;0;14.5%;37.1%;.250;.407;.250;.371;.500;.375;143;-0.6;2.5;-0.1;0.5
108;Mookie Betts;LAD;25;110;3;15;10;1;12.7%;19.1%;.179;.282;.242;.345;.421;.337;113;-0.3;1.5;-0.6;0.5
109;Jake Cronenworth;SDP;26;107;3;15;14;1;9.3%;20.6%;.226;.271;.237;.318;.462;.331;112;0.5;2.2;-1.4;0.4
110;Ramón Laureano;OAK;16;65;2;6;4;2;7.7%;23.1%;.224;.317;.259;.338;.483;.352;130;-0.1;2.2;0.0;0.4
111;Jason Heyward;LAD;22;62;3;11;7;1;14.5%;17.7%;.240;.243;.240;.350;.480;.355;126;0.1;2.0;0.3;0.4
112;Bobby Witt Jr.;KCR;28;120;4;17;10;7;4.2%;20.0%;.174;.253;.226;.258;.400;.281;72;1.7;-2.3;2.6;0.4
113;Myles Straw;CLE;25;96;0;10;7;7;10.4%;17.7%;.036;.348;.277;.362;.313;.309;97;1.3;1.0;0.1;0.4
114;Ketel Marte;ARI;24;99;3;15;8;1;4.0%;16.2%;.217;.284;.261;.303;.478;.330;106;0.1;0.9;0.1;0.4
115;Jake Meyers;HOU;22;67;2;6;8;0;6.0%;26.9%;.145;.381;.290;.343;.435;.339;117;-0.3;1.0;1.0;0.4
116;Nathaniel Lowe;TEX;27;120;4;19;18;0;10.0%;20.8%;.208;.295;.255;.333;.462;.342;115;-0.8;1.4;-1.3;0.4
117;Rafael Devers;BOS;27;118;10;18;26;0;6.8%;20.3%;.336;.187;.224;.280;.561;.340;111;-0.6;0.9;-0.8;0.4
118;Travis Jankowski;TEX;20;61;0;10;5;5;11.5%;19.7%;.094;.390;.302;.393;.396;.352;123;0.5;2.1;-0.1;0.4
